Name	Completeness	Contamination	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Additional_Notes
genome_980	100.0	59.57	Gradient Boost (General Model)	11	0.895	476158	315.9954254345837	8085235	0.5	7651	None
genome_987	91.28	32.93	Neural Network (Specific Model)	11	0.569	109396	313.3209549071618	3103293	0.39	1885	None
genome_99	91.5	0.01	Neural Network (Specific Model)	11	0.912	4433008	321.512497024518	4433008	0.69	4201	None
genome_992	63.59	0.01	Neural Network (Specific Model)	11	0.851	579469	319.2011952191235	1694074	0.44	1506	None
genome_994	100.0	36.32	Neural Network (Specific Model)	11	0.909	1121701	325.07577268195416	5370126	0.34	5015	None
genome_1	64.33	0.25	Neural Network (Specific Model)	11	0.867	3483083	314.5374308804764	5100629	0.72	4702	None
genome_101	94.63	89.5	Neural Network (Specific Model)	11	0.928	502673	323.443463585616	8039869	0.61	7703	None
genome_103	99.47	1.07	Neural Network (Specific Model)	4	0.888	1068782	350.1535508637236	1229073	0.34	1042	None
genome_104	95.06	37.88	Neural Network (Specific Model)	11	0.929	577683	286.43875100080066	2301880	0.31	2498	None
genome_108	79.67	0.26	Neural Network (Specific Model)	11	0.902	622198	354.0534223706177	3524890	0.33	2995	None
genome_11	80.94	6.83	Gradient Boost (General Model)	11	0.899	376895	325.9396551724138	1510064	0.55	1392	None
genome_110	100.0	18.43	Neural Network (Specific Model)	11	0.859	4438848	326.27039827771796	5284776	0.45	4645	None
genome_12	100.0	34.52	Gradient Boost (General Model)	11	0.869	472394	319.49617067833697	6038341	0.56	5484	None
genome_123	100.0	27.52	Neural Network (Specific Model)	11	0.887	5246201	297.43868907096237	7226800	0.52	7201	None
genome_126	70.71	17.12	Neural Network (Specific Model)	11	0.868	103659	278.08857963331127	4342520	0.52	4527	None
genome_128	100.0	14.2	Neural Network (Specific Model)	11	0.851	2878505	315.98268506900877	4432909	0.39	3985	None
genome_129	79.84	1.64	Neural Network (Specific Model)	11	0.855	12570	281.5567441860465	4236593	0.63	4300	None
genome_13	67.98	4.02	Neural Network (Specific Model)	11	0.872	11202	292.5711114905242	5884269	0.71	5857	None
genome_132	87.51	9.07	Neural Network (Specific Model)	11	0.874	148430	278.5090909090909	2623722	0.47	2750	None
genome_137	100.0	26.26	Neural Network (Specific Model)	11	0.891	3093572	305.50060812454393	4221876	0.42	4111	None
genome_138	100.0	0.03	Neural Network (Specific Model)	11	0.823	806646	279.43585896474116	2705820	0.53	2666	None
genome_139	100.0	8.26	Neural Network (Specific Model)	11	0.813	2045253	321.0205223880597	2536555	0.34	2144	None
genome_14	89.26	4.99	Neural Network (Specific Model)	11	0.793	773940	315.1374321880651	1316410	0.33	1106	None
genome_140	86.1	8.11	Neural Network (Specific Model)	11	0.846	75210	292.9853037230568	3173235	0.48	3062	None
genome_147	87.81	10.35	Neural Network (Specific Model)	11	0.882	71172	322.4414951245937	4042144	0.54	3692	None
genome_15	97.96	19.89	Gradient Boost (General Model)	11	0.856	4855437	292.2333812197989	7830397	0.6	7657	None
genome_154	78.28	18.88	Gradient Boost (General Model)	11	0.901	14644	309.6855649376759	5120729	0.58	4974	None
genome_157	54.67	0.23	Neural Network (Specific Model)	11	0.854	24485	317.49254405784006	2464263	0.68	2213	None
genome_159	90.45	0.1	Neural Network (Specific Model)	11	0.831	527671	274.11985746679625	3048173	0.4	3087	None
genome_160	84.92	0.92	Neural Network (Specific Model)	11	0.879	450882	325.43719279082467	4061602	0.56	3662	None
genome_17	96.91	24.17	Neural Network (Specific Model)	11	0.873	300436	329.0357142857143	7421468	0.64	6580	None
genome_174	100.0	60.29	Neural Network (Specific Model)	11	0.876	4909725	306.4939311723547	7337323	0.47	7003	None
genome_181	100.0	21.08	Neural Network (Specific Model)	11	0.882	77726	320.6716845878136	6079345	0.5	5580	None
genome_183	84.56	22.04	Gradient Boost (General Model)	11	0.9	94450	338.3495864170657	2585479	0.44	2297	None
genome_188	97.54	89.23	Gradient Boost (General Model)	11	0.887	303614	305.76385599242064	8718995	0.49	8444	None
genome_19	75.99	0.0	Neural Network (Specific Model)	11	0.937	319802	314.1035474592522	1046149	0.28	1043	None
genome_191	99.12	58.04	Gradient Boost (General Model)	11	0.87	313319	322.6781388478582	7520638	0.58	6770	None
genome_193	99.69	10.01	Gradient Boost (General Model)	11	0.846	2559744	307.6348133848134	3383944	0.41	3108	None
genome_195	100.0	56.78	Neural Network (Specific Model)	11	0.912	5244518	374.9245995769115	8150175	0.45	6618	None
genome_198	59.54	0.0	Neural Network (Specific Model)	11	0.905	18709	312.0662177328844	919473	0.39	891	None
genome_2	92.0	34.61	Gradient Boost (General Model)	11	0.874	246549	314.4126682775285	6239191	0.58	5794	None
genome_203	77.22	17.4	Neural Network (Specific Model)	11	0.898	34367	335.5179063360882	3656127	0.39	3267	None
genome_204	72.39	0.06	Neural Network (Specific Model)	11	0.852	549198	289.65989583333334	1953389	0.46	1920	None
genome_210	60.57	4.18	Neural Network (Specific Model)	11	0.905	694980	338.9570747217806	1410252	0.37	1258	None
genome_215	100.0	57.0	Neural Network (Specific Model)	4	0.877	4680091	330.01102826964893	7230005	0.45	6438	None
genome_216	99.91	0.08	Neural Network (Specific Model)	11	0.886	3321654	307.47651847213524	3321654	0.67	3194	None
genome_218	100.0	43.18	Gradient Boost (General Model)	11	0.906	1226643	335.5287951502905	8783437	0.64	7918	None
genome_221	63.28	0.09	Neural Network (Specific Model)	4	0.901	315018	351.8855835240275	510246	0.28	437	None
genome_222	99.17	44.24	Gradient Boost (General Model)	11	0.88	364445	334.76692956214305	4190475	0.37	3677	None
genome_231	59.1	0.17	Neural Network (Specific Model)	11	0.878	1054276	328.6350168350168	1665259	0.33	1485	None
genome_233	100.0	14.67	Neural Network (Specific Model)	11	0.827	4087127	314.7176527176527	4741299	0.3	4158	None
genome_234	100.0	31.94	Neural Network (Specific Model)	11	0.874	5055316	288.1488714583	6158378	0.47	6247	None
genome_235	68.84	8.4	Neural Network (Specific Model)	11	0.848	161836	295.9948339483395	4249293	0.45	4065	None
genome_247	98.79	29.83	Gradient Boost (General Model)	11	0.896	3817662	326.2152718595534	6396547	0.46	5867	None
genome_255	67.79	0.09	Neural Network (Specific Model)	11	0.889	224057	317.000322684737	3308575	0.55	3099	None
genome_260	73.02	4.87	Neural Network (Specific Model)	11	0.901	2036457	330.453095684803	3510668	0.65	3198	None
genome_266	88.78	19.48	Neural Network (Specific Model)	11	0.835	2826080	292.9513376383764	4556631	0.36	4336	None
genome_275	99.59	12.77	Neural Network (Specific Model)	11	0.894	1474182	318.37706903512316	2640218	0.47	2477	None
genome_279	100.0	0.17	Neural Network (Specific Model)	11	0.903	313947	333.51490384615386	2299474	0.6	2080	None
genome_285	100.0	83.12	Neural Network (Specific Model)	11	0.901	26630	289.6029603831084	8835926	0.47	9188	None
genome_289	100.0	45.01	Neural Network (Specific Model)	11	0.921	3782989	322.7989453988774	6170964	0.49	5879	None
genome_291	96.74	16.01	Neural Network (Specific Model)	11	0.874	935169	289.87285714285713	5560932	0.52	5600	None
genome_292	99.15	17.52	Neural Network (Specific Model)	11	0.925	94038	310.9861932938856	2040931	0.44	2028	None
genome_3	100.0	83.06	Gradient Boost (General Model)	11	0.884	1934256	311.5661476740854	11043443	0.49	10469	None
genome_303	100.0	12.53	Neural Network (Specific Model)	11	0.889	3700417	322.600677830941	5452515	0.59	5016	None
genome_305	76.62	14.91	Neural Network (Specific Model)	11	0.877	98211	318.02832953435365	3335335	0.42	3071	None
genome_307	100.0	93.41	Neural Network (Specific Model)	11	0.876	897011	317.36496894409936	8732828	0.5	8050	None
genome_314	80.74	0.41	Neural Network (Specific Model)	11	0.88	249231	297.7646267652993	1504292	0.37	1487	None
genome_326	80.44	16.38	Neural Network (Specific Model)	11	0.924	30872	318.6480086114101	1916552	0.61	1858	None
genome_327	92.53	15.86	Gradient Boost (General Model)	11	0.878	41986	294.91551584077985	3714895	0.43	3693	None
genome_332	85.77	9.06	Gradient Boost (General Model)	11	0.9	72413	316.375961264597	3695855	0.57	3511	None
genome_335	86.05	0.31	Neural Network (Specific Model)	11	0.842	607949	282.65373961218836	1087978	0.35	1083	None
genome_345	71.02	6.39	Neural Network (Specific Model)	11	0.808	1051195	315.8878194490541	7046083	0.41	6026	None
genome_346	100.0	70.94	Gradient Boost (General Model)	11	0.885	1990056	317.04454704267533	8592960	0.52	8014	None
genome_347	100.0	40.24	Neural Network (Specific Model)	11	0.861	51074	318.64898803368294	7487699	0.45	6769	None
genome_35	98.08	45.88	Gradient Boost (General Model)	11	0.866	1622068	289.6161849710983	6927578	0.49	6920	None
genome_354	100.0	31.8	Neural Network (Specific Model)	11	0.885	42286	295.29980903882876	4707125	0.47	4713	None
genome_357	93.87	21.35	Neural Network (Specific Model)	11	0.885	105680	326.17798967024237	5559793	0.5	5034	None
genome_36	100.0	62.49	Neural Network (Specific Model)	11	0.885	69379	312.909864738806	9075414	0.52	8576	None
genome_371	98.08	26.17	Gradient Boost (General Model)	11	0.885	732290	318.6652337452982	4011035	0.4	3722	None
genome_372	100.0	11.92	Neural Network (Specific Model)	11	0.87	3537675	318.53826530612247	4298626	0.35	3920	None
genome_380	100.0	14.83	Neural Network (Specific Model)	11	0.848	3918025	314.65844578873896	4775924	0.57	4298	None
genome_382	74.85	4.86	Gradient Boost (General Model)	11	0.893	389552	339.3580060422961	753589	0.25	662	None
genome_385	94.97	82.41	Gradient Boost (General Model)	11	0.865	437080	338.72230392156865	9567843	0.5	8160	None
genome_39	88.77	17.27	Neural Network (Specific Model)	11	0.872	24983	290.8847130523108	3928775	0.43	3938	None
genome_394	100.0	16.93	Neural Network (Specific Model)	11	0.864	2897282	292.2260273972603	5017172	0.45	4964	None
genome_400	76.36	0.25	Neural Network (Specific Model)	11	0.883	247265	288.07792860734037	1942276	0.41	1989	None
genome_405	89.55	49.11	Gradient Boost (General Model)	11	0.9	25079	297.7357474188239	6608438	0.5	6683	None
genome_410	90.83	29.26	Gradient Boost (General Model)	11	0.868	13270	277.40941837989806	5442839	0.52	5691	None
genome_42	88.53	7.71	Gradient Boost (General Model)	11	0.897	578729	335.94181034482756	4161819	0.64	3712	None
genome_426	79.39	14.49	Gradient Boost (General Model)	11	0.879	55583	308.52567140600314	2658796	0.51	2532	None
genome_427	99.88	5.95	Neural Network (Specific Model)	11	0.873	5877431	345.12092494313873	6253096	0.35	5276	None
genome_428	71.31	3.55	Neural Network (Specific Model)	11	0.873	93831	284.27182718271825	2164966	0.4	2222	None
genome_429	82.93	18.2	Neural Network (Specific Model)	11	0.895	1139594	329.162908680947	1951554	0.49	1774	None
genome_442	100.0	54.73	Neural Network (Specific Model)	11	0.883	829302	304.61956405025234	9625481	0.57	9313	None
genome_443	100.0	23.77	Gradient Boost (General Model)	11	0.871	1213133	315.3956168097605	4794907	0.47	4426	None
genome_444	77.78	0.13	Neural Network (Specific Model)	11	0.887	84663	312.211855104281	3840749	0.55	3644	None
genome_45	93.0	37.41	Neural Network (Specific Model)	11	0.859	177145	312.5626616505996	4630098	0.39	4253	None
genome_456	100.0	16.02	Neural Network (Specific Model)	11	0.88	523197	321.48116081449416	6826117	0.57	6237	None
genome_46	77.16	6.45	Neural Network (Specific Model)	11	0.9	325780	296.7800475059382	2075309	0.41	2105	None
genome_464	100.0	53.48	Gradient Boost (General Model)	11	0.895	4415638	323.3337517258692	8614397	0.59	7967	None
genome_471	97.31	52.07	Gradient Boost (General Model)	11	0.891	397455	309.63867475807774	6340954	0.57	6097	None
genome_476	91.98	1.43	Neural Network (Specific Model)	11	0.872	141193	272.9671179883946	1938091	0.36	2068	None
genome_482	100.0	76.84	Neural Network (Specific Model)	11	0.867	4195102	297.1327683615819	6906437	0.4	6726	None
genome_483	79.86	1.5	Neural Network (Specific Model)	11	0.875	522208	305.3879472693032	3884918	0.51	3717	None
genome_484	75.93	0.09	Neural Network (Specific Model)	11	0.897	186698	317.2897914379802	2894839	0.46	2733	None
genome_485	98.74	79.71	Gradient Boost (General Model)	11	0.875	664745	319.5948364888124	9534857	0.56	8715	None
genome_49	90.91	28.9	Neural Network (Specific Model)	11	0.878	687956	310.03810367744796	4773465	0.4	4514	None
genome_494	68.49	10.24	Gradient Boost (General Model)	11	0.891	325134	302.76404494382024	2440866	0.43	2403	None
genome_497	88.53	0.71	Neural Network (Specific Model)	11	0.834	312718	298.23737373737373	2970505	0.44	2772	None
genome_5	75.75	16.55	Gradient Boost (General Model)	11	0.885	192214	309.0583162217659	5095962	0.56	4870	None
genome_504	100.0	45.99	Neural Network (Specific Model)	11	0.886	5458821	316.6455154877485	9253225	0.5	8652	None
genome_508	81.03	32.2	Neural Network (Specific Model)	11	0.835	1063729	300.13719068413394	2960564	0.32	2748	None
genome_51	100.0	88.75	Neural Network (Specific Model)	11	0.872	8621271	326.08115523465705	15509360	0.63	13850	None
genome_510	53.61	1.25	Neural Network (Specific Model)	11	0.909	18807	307.35409457900806	2634903	0.75	2601	None
genome_512	91.68	26.53	Gradient Boost (General Model)	11	0.892	154657	326.87556742323096	4109206	0.35	3745	None
genome_513	96.58	38.9	Neural Network (Specific Model)	11	0.907	68853	320.26536312849163	6056035	0.64	5728	None
genome_515	100.0	54.82	Neural Network (Specific Model)	11	0.908	2299474	319.680472003702	4552712	0.52	4322	None
genome_522	97.07	41.78	Gradient Boost (General Model)	11	0.876	60221	303.27807486631013	8138124	0.52	7854	None
genome_523	100.0	75.89	Gradient Boost (General Model)	11	0.891	1264118	333.5998800239952	13083916	0.57	11669	None
genome_527	80.46	29.3	Gradient Boost (General Model)	11	0.877	23373	305.86093088857547	3705050	0.44	3545	None
genome_533	100.0	77.17	Gradient Boost (General Model)	11	0.89	90922	318.5795852073963	8574946	0.61	8004	None
genome_537	87.4	16.51	Neural Network (Specific Model)	11	0.898	487934	319.40284817764905	4411020	0.59	4143	None
genome_547	88.26	13.44	Neural Network (Specific Model)	11	0.88	435389	328.8180873180873	5374221	0.46	4810	None
genome_55	100.0	83.0	Neural Network (Specific Model)	11	0.885	2800876	339.59432487675844	9560423	0.41	8317	None
genome_550	100.0	81.15	Neural Network (Specific Model)	11	0.876	3785565	305.1783767413689	6889019	0.4	6604	None
genome_56	79.25	28.72	Gradient Boost (General Model)	11	0.864	26439	283.56880733944956	4924577	0.47	5014	None
genome_560	100.0	0.03	Neural Network (Specific Model)	11	0.887	3703197	315.4156282450675	4105128	0.6	3852	None
genome_563	99.8	3.68	Neural Network (Specific Model)	11	0.869	2572936	303.9637779282329	3088805	0.52	2954	None
genome_564	100.0	2.79	Neural Network (Specific Model)	11	0.902	2129182	291.56942168110515	4124759	0.38	4271	None
genome_569	100.0	19.94	Neural Network (Specific Model)	11	0.873	5169173	326.57491939589346	6597622	0.57	5893	None
genome_570	100.0	57.8	Gradient Boost (General Model)	11	0.889	3293048	332.33086724208795	5450980	0.35	4866	None
genome_572	94.67	28.46	Gradient Boost (General Model)	11	0.879	427936	326.4508764777823	8184211	0.65	7359	None
genome_579	100.0	72.89	Neural Network (Specific Model)	11	0.886	3883244	322.6300085251492	7675484	0.47	7038	None
genome_58	99.69	7.51	Neural Network (Specific Model)	11	0.914	1139138	340.8108539505188	1398716	0.5	1253	None
genome_582	92.12	9.2	Neural Network (Specific Model)	11	0.846	139844	303.46501220504473	2640961	0.36	2458	None
genome_583	91.74	26.9	Gradient Boost (General Model)	11	0.902	796434	322.28808521179093	4319049	0.54	4037	None
genome_585	87.38	0.06	Neural Network (Specific Model)	11	0.915	465126	338.3930874387413	4295587	0.7	3877	None
genome_587	100.0	33.8	Gradient Boost (General Model)	11	0.816	6861882	291.94984389163056	10617623	0.47	9929	None
genome_591	100.0	72.38	Gradient Boost (General Model)	11	0.886	4392397	307.4301585320185	8318137	0.47	8011	None
genome_595	100.0	89.43	Gradient Boost (General Model)	11	0.873	239749	303.83036397420483	9533782	0.44	9149	None
genome_6	82.18	24.14	Gradient Boost (General Model)	11	0.874	130995	309.69179154551557	4742603	0.5	4471	None
genome_605	60.02	0.0	Neural Network (Specific Model)	11	0.859	397091	334.9609022556391	3105632	0.65	2660	None
genome_609	96.21	14.22	Neural Network (Specific Model)	11	0.874	105870	321.47821840203164	5639225	0.58	5119	None
genome_61	100.0	49.54	Gradient Boost (General Model)	11	0.893	41695	305.3473543201608	7644811	0.53	7465	None
genome_612	61.2	10.2	Neural Network (Specific Model)	11	0.919	15604	315.5756578947368	1873897	0.44	1824	None
genome_618	82.43	16.87	Neural Network (Specific Model)	11	0.866	63583	301.7774894583198	3210292	0.46	3083	None
genome_619	72.69	0.13	Gradient Boost (General Model)	11	0.882	1496240	313.8383190883191	1496240	0.57	1404	None
genome_622	61.63	0.08	Neural Network (Specific Model)	11	0.861	465105	273.2984092155787	1729945	0.46	1823	None
genome_626	100.0	46.47	Neural Network (Specific Model)	11	0.89	325190	309.6632776567417	4302997	0.38	4131	None
genome_628	56.72	1.32	Neural Network (Specific Model)	11	0.863	457367	290.4334121355398	1279002	0.4	1269	None
genome_636	100.0	65.24	Neural Network (Specific Model)	11	0.889	2754161	291.78044723710957	5309938	0.59	5411	None
genome_637	73.72	0.27	Neural Network (Specific Model)	11	0.904	2594987	328.3610286844708	3294764	0.66	3033	None
genome_639	100.0	66.77	Neural Network (Specific Model)	11	0.878	4719098	317.4773527931555	8605029	0.52	7948	None
genome_643	95.24	23.21	Neural Network (Specific Model)	11	0.89	848890	306.8596895973154	4919537	0.5	4768	None
genome_658	93.43	61.19	Neural Network (Specific Model)	11	0.894	57712	297.56038040552664	5552280	0.44	5573	None
genome_66	99.93	29.52	Gradient Boost (General Model)	11	0.889	527816	309.6090062784152	4812397	0.57	4619	None
genome_661	83.23	16.69	Neural Network (Specific Model)	11	0.881	29735	313.29603487647915	5131867	0.58	4817	None
genome_662	82.33	20.42	Gradient Boost (General Model)	11	0.885	85747	280.84828101644246	2543920	0.38	2676	None
genome_663	70.47	21.59	Gradient Boost (General Model)	11	0.848	20013	275.84012770137525	7928659	0.52	8144	None
genome_664	100.0	65.74	Gradient Boost (General Model)	11	0.896	61234	325.6531778425656	9332472	0.39	8575	None
genome_668	97.36	67.58	Neural Network (Specific Model)	11	0.903	314171	305.394891682268	7557721	0.51	7478	None
genome_669	84.95	13.99	Gradient Boost (General Model)	11	0.897	1546514	335.4925666812418	5125650	0.62	4574	None
genome_674	96.47	0.08	Neural Network (Specific Model)	11	0.858	848832	295.4397463002114	2437504	0.38	2365	None
genome_679	92.43	13.79	Neural Network (Specific Model)	11	0.85	6623	255.76231371558475	3562460	0.46	3959	None
genome_68	100.0	34.05	Neural Network (Specific Model)	11	0.885	2553002	312.20673197689024	4201186	0.61	3981	None
genome_685	92.61	34.35	Gradient Boost (General Model)	11	0.893	169427	315.6594975256947	5557492	0.47	5254	None
genome_689	71.74	0.74	Neural Network (Specific Model)	11	0.84	222339	312.1661594643944	3657293	0.45	3286	None
genome_692	64.76	0.18	Neural Network (Specific Model)	11	0.897	158979	319.4679444811633	1613569	0.6	1513	None
genome_70	71.44	0.24	Neural Network (Specific Model)	11	0.829	72056	269.97280497280497	2509376	0.4	2574	None
genome_700	90.95	18.53	Neural Network (Specific Model)	11	0.881	24158	308.33070244672456	5310777	0.6	5068	None
genome_706	100.0	19.05	Neural Network (Specific Model)	11	0.913	6251765	327.38823194187205	7530013	0.63	7019	None
genome_707	92.84	90.94	Gradient Boost (General Model)	11	0.864	72421	290.5513905683192	9163018	0.4	9097	None
genome_708	73.06	11.47	Neural Network (Specific Model)	11	0.919	1047124	331.53869882220977	3852037	0.61	3566	None
genome_711	100.0	23.35	Neural Network (Specific Model)	11	0.894	4415638	314.73762376237624	5959462	0.61	5656	None
genome_714	91.82	28.42	Gradient Boost (General Model)	11	0.903	3431437	322.6609539207761	6613001	0.64	6185	None
genome_72	60.58	1.56	Neural Network (Specific Model)	11	0.766	338957	313.1920731707317	1205212	0.38	984	None
genome_720	81.52	5.32	Neural Network (Specific Model)	11	0.921	162881	302.3362936648905	1657448	0.32	1689	None
genome_727	100.0	0.44	Neural Network (Specific Model)	11	0.833	760946	301.5947687642153	2862577	0.33	2638	None
genome_729	98.64	12.0	Neural Network (Specific Model)	11	0.875	1317225	303.53848045242194	4214192	0.48	4067	None
genome_73	77.9	11.05	Neural Network (Specific Model)	11	0.868	86383	299.7988915281077	3916928	0.51	3789	None
genome_730	85.48	65.5	Gradient Boost (General Model)	11	0.86	618060	327.57558395769064	10343234	0.53	9076	None
genome_733	75.69	10.09	Neural Network (Specific Model)	11	0.871	183652	302.9002302379125	2713801	0.41	2606	None
genome_734	98.42	18.21	Gradient Boost (General Model)	11	0.87	591317	307.17541883711107	7510361	0.67	7103	None
genome_74	100.0	11.82	Neural Network (Specific Model)	11	0.863	2772454	298.39326387206205	4265050	0.44	4127	None
genome_743	72.81	12.81	Gradient Boost (General Model)	11	0.872	93220	306.5658409387223	2421100	0.51	2301	None
genome_747	99.99	0.85	Neural Network (Specific Model)	11	0.893	1300292	308.9072382290935	2950983	0.38	2846	None
genome_761	100.0	5.84	Neural Network (Specific Model)	11	0.878	7189561	344.46373178756073	7503576	0.71	6383	None
genome_764	98.47	30.73	Gradient Boost (General Model)	11	0.894	783326	345.99749418292464	6479050	0.55	5587	None
genome_767	100.0	6.77	Neural Network (Specific Model)	11	0.86	3382684	315.30394345238096	5900356	0.64	5376	None
genome_768	93.33	95.55	Neural Network (Specific Model)	11	0.884	138850	346.63722055388723	14074600	0.65	11988	None
genome_77	82.31	0.6	Gradient Boost (General Model)	11	0.806	57429	244.8080291970803	2486769	0.36	2740	None
genome_770	88.59	13.43	Neural Network (Specific Model)	11	0.845	184721	283.7557589144841	3181298	0.41	3169	None
genome_774	87.13	4.77	Neural Network (Specific Model)	11	0.875	24921	302.1800783952041	4484058	0.49	4337	None
genome_775	100.0	37.08	Neural Network (Specific Model)	11	0.886	446133	307.2201166180758	7832270	0.54	7546	None
genome_785	84.81	2.75	Neural Network (Specific Model)	11	0.858	1100675	305.3457769482035	4559932	0.45	4286	None
genome_787	100.0	45.07	Neural Network (Specific Model)	11	0.88	5877431	340.73553459119495	7382036	0.38	6360	None
genome_789	61.35	0.0	Neural Network (Specific Model)	11	0.876	494384	314.0493701055499	3152077	0.51	2937	None
genome_79	90.87	15.41	Neural Network (Specific Model)	11	0.839	6527	265.1875182268883	3245689	0.43	3429	None
genome_791	88.99	35.48	Neural Network (Specific Model)	11	0.856	1151553	288.9011111111111	6365261	0.52	6300	None
genome_795	93.77	28.19	Neural Network (Specific Model)	11	0.878	416846	315.6273374151911	6503156	0.57	6043	None
genome_796	90.16	36.8	Neural Network (Specific Model)	11	0.874	186075	296.7231829235342	7525518	0.57	7402	None
genome_799	100.0	81.13	Neural Network (Specific Model)	11	0.894	6319080	351.1204474505723	9041051	0.42	7688	None
genome_811	100.0	44.91	Neural Network (Specific Model)	11	0.888	5506118	318.8252554362064	8207738	0.56	7634	None
genome_813	100.0	70.95	Gradient Boost (General Model)	11	0.89	26997	295.1590683845391	8008823	0.49	8072	None
genome_814	96.6	52.74	Neural Network (Specific Model)	11	0.875	338393	295.98417500581803	8707260	0.51	8594	None
genome_818	99.83	40.47	Gradient Boost (General Model)	11	0.851	895961	298.0515139973338	11021848	0.46	10502	None
genome_828	100.0	34.72	Neural Network (Specific Model)	11	0.892	2504786	298.48618331053353	3663229	0.27	3655	None
genome_829	99.72	22.64	Gradient Boost (General Model)	11	0.889	2296897	302.36717467760843	4339774	0.61	4265	None
genome_831	60.8	0.18	Neural Network (Specific Model)	11	0.817	153080	315.18560953253893	2522073	0.29	2182	None
genome_832	100.0	19.8	Neural Network (Specific Model)	11	0.911	2726472	324.94941634241246	7958506	0.65	7453	None
genome_833	100.0	33.28	Gradient Boost (General Model)	11	0.898	4106370	307.4679353910123	6401893	0.62	6253	None
genome_836	89.7	16.02	Gradient Boost (General Model)	11	0.864	38560	297.372588540167	3576784	0.41	3473	None
genome_843	90.96	41.23	Neural Network (Specific Model)	11	0.875	418633	299.52711004273505	7677398	0.57	7488	None
genome_857	97.72	32.13	Gradient Boost (General Model)	11	0.856	19536	291.44020641687234	4539517	0.48	4457	None
genome_859	81.83	9.46	Gradient Boost (General Model)	11	0.891	28579	292.72254575707154	2363454	0.5	2404	None
genome_864	100.0	24.13	Neural Network (Specific Model)	11	0.825	3199165	303.3396530859217	5460136	0.43	4958	None
genome_865	100.0	10.07	Neural Network (Specific Model)	11	0.888	1983764	296.6774021825925	3760964	0.49	3757	None
genome_868	100.0	0.05	Neural Network (Specific Model)	11	0.893	1691456	327.7331363860167	2234002	0.41	2031	None
genome_870	98.14	13.09	Gradient Boost (General Model)	11	0.906	4936681	325.85855263157896	5896376	0.56	5472	None
genome_876	100.0	26.77	Neural Network (Specific Model)	11	0.865	12129	276.2232645403377	6114383	0.49	6396	None
genome_879	96.08	1.06	Neural Network (Specific Model)	4	0.864	1209723	333.9308118081181	1254585	0.27	1084	None
genome_884	100.0	20.64	Gradient Boost (General Model)	11	0.873	2201616	300.8898064516129	3998724	0.41	3875	None
genome_885	100.0	41.86	Neural Network (Specific Model)	11	0.877	347013	297.977294379168	6408641	0.43	6298	None
genome_886	70.06	0.01	Neural Network (Specific Model)	11	0.841	547975	302.88498583569407	1903591	0.33	1765	None
genome_89	99.99	4.68	Neural Network (Specific Model)	11	0.886	4308696	320.28102710413697	4551821	0.64	4206	None
genome_896	100.0	46.67	Neural Network (Specific Model)	11	0.909	847999	291.8806384455239	1385626	0.47	1441	None
genome_899	90.82	3.22	Neural Network (Specific Model)	11	0.872	89890	316.4982415005862	4635657	0.58	4265	None
genome_9	98.62	0.34	Neural Network (Specific Model)	11	0.904	1038683	287.10531135531136	1038683	0.46	1092	None
genome_903	100.0	34.11	Gradient Boost (General Model)	11	0.873	1364247	334.0363511659808	8357803	0.64	7290	None
genome_906	100.0	23.47	Neural Network (Specific Model)	11	0.863	2802475	289.91954231747184	5517555	0.49	5506	None
genome_91	86.99	12.4	Neural Network (Specific Model)	11	0.894	76087	331.97120354417916	4500213	0.51	4063	None
genome_917	86.78	0.37	Neural Network (Specific Model)	11	0.844	324162	274.49911190053285	4939874	0.35	5067	None
genome_92	100.0	63.01	Gradient Boost (General Model)	11	0.903	4342308	316.05854140217235	7430741	0.5	7089	None
genome_923	81.49	0.83	Neural Network (Specific Model)	11	0.913	424217	273.6532710280374	1916807	0.42	2140	None
genome_93	91.21	44.2	Neural Network (Specific Model)	11	0.877	37293	301.87159821870364	8336129	0.55	8084	None
genome_930	83.67	31.7	Neural Network (Specific Model)	11	0.876	72342	274.26460905349796	2278665	0.38	2430	None
genome_932	61.9	0.28	Neural Network (Specific Model)	11	0.897	59284	322.1741456166419	3620826	0.62	3365	None
genome_941	99.7	53.94	Gradient Boost (General Model)	11	0.89	655735	328.58328144458284	7098357	0.54	6424	None
genome_946	100.0	20.34	Neural Network (Specific Model)	11	0.88	2475467	303.50312602829877	3136993	0.38	3039	None
genome_95	88.15	41.34	Gradient Boost (General Model)	11	0.891	144138	326.3857262452909	5240868	0.51	4778	None
genome_950	56.37	2.24	Neural Network (Specific Model)	11	0.873	22007	302.3974399000937	3322894	0.57	3203	None
genome_955	87.76	23.33	Gradient Boost (General Model)	11	0.892	5193	260.45001143903	3819697	0.56	4371	None
genome_957	98.0	5.81	Neural Network (Specific Model)	11	0.852	2132758	298.859778597786	2563295	0.49	2439	None
genome_959	100.0	66.01	Neural Network (Specific Model)	11	0.877	4835517	310.73993920972646	8729159	0.54	8225	None
genome_962	100.0	78.04	Neural Network (Specific Model)	11	0.878	5455366	299.8793586724969	9124697	0.51	8919	None
genome_965	100.0	81.81	Gradient Boost (General Model)	11	0.893	8952969	358.47983014861995	13020089	0.6	10833	None
