genome_id	pred_completeness_fresh	pred_contamination_fresh	pred_completeness_saved	pred_contamination_saved
G_r078_none_control	71.8665	0.2733	71.86653	0.2733469
G_r078_uneven_coverage_5pct	75.7497	0.2883	75.749695	0.28826892
G_r078_uneven_coverage_10pct	80.3698	0.3386	80.36983	0.3386289
G_r078_uneven_coverage_20pct	85.168	0.2594	85.16803	0.25942326
G_r078_uneven_coverage_40pct	99.4229	0.2433	99.42293	0.24332702
G_r079_none_control	99.4668	11.4929	99.46675	11.492911
G_r079_uneven_coverage_5pct	99.1797	15.7517	99.1797	15.751693
G_r079_uneven_coverage_10pct	98.3912	19.5158	98.391205	19.515804
G_r079_uneven_coverage_20pct	93.5449	39.7859	93.54485	39.78591
G_r079_uneven_coverage_40pct	90.2204	58.6973	90.220375	58.697258
