# set_H_ncbi — 400 unique dominant reference genomes, 10 independent simulations each.
# Selected by NCBI assembly_level == "Complete Genome" with NO CheckM2 filter (R1-m13 circularity safeguard).
# in_curation_pool_277k = the genome WOULD have entered the project's CheckM2-filtered reference pool.
dominant_accession	dominant_phylum	dominant_taxonomy	dominant_reference_bp	ref_index	arm	pair_id	match_level	would_pass_original_filter	checkm2_severity	ref_checkm2_completeness	ref_checkm2_contamination	ref_contig_count	ref_n50_contigs	ref_ncbi_assembly_level	canonical_key	in_train	in_val	in_test	in_kmer_selection	in_curation_pool_277k
GB_GCA_029632985.2	Bacillota	d__Bacteria;p__Bacillota;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus aureus	2500564	86	H_fail	pair_0043	species	False	severe	87.14	3.22	2	2479797	Complete Genome	029632985	False	False	False	False	False
GB_GCA_029633425.2	Bacillota	d__Bacteria;p__Bacillota;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus aureus	2510852	87	H_pass	pair_0043	species	True	pass	99.57	0.85	2	2490038	Complete Genome	029633425	False	False	False	False	True
GB_GCA_029690025.2	Bacillota	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus;s__Lactococcus lactis	2491562	88	H_fail	pair_0044	species	False	moderate	94.73	2.23	4	2459127	Complete Genome	029690025	False	False	False	False	False
RS_GCF_000807375.1	Bacillota	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus;s__Lactococcus lactis	2488699	89	H_pass	pair_0044	species	True	pass	100.0	0.57	1	2488699	Complete Genome	000807375	False	False	False	False	True
GB_GCA_030014105.1	Bacillota	d__Bacteria;p__Bacillota;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus epidermidis	2526290	90	H_fail	pair_0045	species	False	moderate	95.83	2.28	1	2526290	Complete Genome	030014105	False	False	False	False	False
RS_GCF_009873455.1	Bacillota	d__Bacteria;p__Bacillota;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus epidermidis	2526403	91	H_pass	pair_0045	species	True	pass	99.99	0.05	2	2504425	Complete Genome	009873455	False	False	False	False	True
GB_GCA_030573405.1	Actinomycetota	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__Mycobacterium tuberculosis	4354357	92	H_fail	pair_0046	species	False	moderate	90.52	1.13	1	4354357	Complete Genome	030573405	False	False	False	False	False
RS_GCF_038096075.2	Actinomycetota	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__Mycobacterium tuberculosis	4353699	93	H_pass	pair_0046	species	True	pass	100.0	0.34	1	4353699	Complete Genome	038096075	False	False	False	False	True
GB_GCA_030576775.1	Actinomycetota	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__Mycobacterium tuberculosis	4339165	94	H_fail	pair_0047	species	False	severe	88.75	2.83	1	4339165	Complete Genome	030576775	False	False	False	False	False
GB_GCA_030569355.1	Actinomycetota	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__Mycobacterium tuberculosis	4340326	95	H_pass	pair_0047	species	True	pass	100.0	0.36	1	4340326	Complete Genome	030569355	False	False	False	False	True
GB_GCA_030719765.1	Campylobacterota	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter_D;s__Campylobacter_D jejuni	1670931	96	H_fail	pair_0048	species	False	moderate	93.81	0.44	1	1670931	Complete Genome	030719765	False	False	False	False	False
GB_GCA_030720005.1	Campylobacterota	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter_D;s__Campylobacter_D jejuni	1670865	97	H_pass	pair_0048	species	True	pass	98.43	0.74	1	1670865	Complete Genome	030720005	False	False	False	False	True
GB_GCA_030719905.1	Campylobacterota	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter_D;s__Campylobacter_D jejuni	1670869	98	H_fail	pair_0049	species	False	moderate	93.7	0.36	1	1670869	Complete Genome	030719905	False	False	False	False	False
GB_GCA_030720205.1	Campylobacterota	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter_D;s__Campylobacter_D jejuni	1670827	99	H_pass	pair_0049	species	True	pass	99.29	0.33	1	1670827	Complete Genome	030720205	False	False	False	False	True
GB_GCA_030720305.1	Campylobacterota	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter_D;s__Campylobacter_D jejuni	1670867	100	H_fail	pair_0050	species	False	moderate	93.19	0.22	1	1670867	Complete Genome	030720305	False	False	False	False	False
RS_GCF_000835305.1	Campylobacterota	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter_D;s__Campylobacter_D jejuni	1670781	101	H_pass	pair_0050	species	True	pass	99.98	0.18	1	1670781	Complete Genome	000835305	False	False	False	False	True
GB_GCA_030863565.1	Pseudomonadota	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Salmonella;s__Salmonella enterica	4739764	102	H_fail	pair_0051	species	False	mild	96.07	3.84	2	4626817	Complete Genome	030863565	False	False	False	False	False
RS_GCF_002760995.1	Pseudomonadota	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Salmonella;s__Salmonella enterica	4739705	103	H_pass	pair_0051	species	True	pass	100.0	0.12	2	4684909	Complete Genome	002760995	False	False	False	False	True
GB_GCA_033170915.1	Bacillota	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Listeriaceae;g__Listeria;s__Listeria monocytogenes	3127511	104	H_fail	pair_0052	species	False	moderate	94.46	3.06	2	3040950	Complete Genome	033170915	False	False	False	False	False
RS_GCF_003030165.1	Bacillota	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Listeriaceae;g__Listeria;s__Listeria monocytogenes	3124949	105	H_pass	pair_0052	species	True	pass	99.99	0.62	2	3062735	Complete Genome	003030165	False	False	False	False	True
GB_GCA_033181785.1	Bacillota	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Listeriaceae;g__Listeria;s__Listeria monocytogenes	3041455	106	H_fail	pair_0053	species	False	moderate	95.36	2.92	2	2954893	Complete Genome	033181785	False	False	False	False	False
RS_GCF_041764945.1	Bacillota	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Listeriaceae;g__Listeria;s__Listeria monocytogenes	3041404	107	H_pass	pair_0053	species	True	pass	99.99	0.7	1	3041404	Complete Genome	041764945	False	False	False	False	True
GB_GCA_033798825.1	Bacillota	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus agalactiae	2162219	108	H_fail	pair_0054	species	False	moderate	94.39	4.45	1	2162219	Complete Genome	033798825	False	False	False	False	False
RS_GCF_949793775.1	Bacillota	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus agalactiae	2160706	109	H_pass	pair_0054	species	True	pass	100.0	0.27	1	2160706	Complete Genome	949793775	False	False	True	False	True
GB_GCA_033977085.1	Pseudomonadota	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Apirhabdus;s__Apirhabdus apintestini	4619030	110	H_fail	pair_0055	family	False	severe	83.18	5.33	4	4451669	Complete Genome	033977085	False	False	False	False	False
RS_GCF_040437135.1	Pseudomonadota	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Enterobacter;s__Enterobacter hormaechei_C	4619015	111	H_pass	pair_0055	family	True	pass	100.0	0.04	1	4619015	Complete Genome	040437135	False	False	False	False	True
GB_GCA_034480345.1	Pseudomonadota	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Vibrionaceae;g__Vibrio;s__Vibrio natriegens	5208039	112	H_fail	pair_0056	species	False	moderate	100.0	7.64	2	3279537	Complete Genome	034480345	False	False	False	False	False
RS_GCF_037746055.1	Pseudomonadota	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Vibrionaceae;g__Vibrio;s__Vibrio natriegens	5181449	113	H_pass	pair_0056	species	True	pass	100.0	0.51	2	3254314	Complete Genome	037746055	False	False	False	False	True
GB_GCA_034480465.1	Pseudomonadota	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Vibrionaceae;g__Vibrio;s__Vibrio parahaemolyticus	5201331	114	H_fail	pair_0057	species	False	mild	100.0	2.2	2	3426471	Complete Genome	034480465	False	False	False	False	False
GB_GCA_003047085.1	Pseudomonadota	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Vibrionaceae;g__Vibrio;s__Vibrio parahaemolyticus	5203326	115	H_pass	pair_0057	species	True	pass	100.0	0.02	2	3445421	Complete Genome	003047085	False	False	False	False	True
GB_GCA_035444265.1	Bacillota	d__Bacteria;p__Bacillota;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus aureus	3003206	116	H_fail	pair_0058	species	False	severe	83.38	2.02	2	3000039	Complete Genome	035444265	False	False	False	False	False
GB_GCA_006088835.1	Bacillota	d__Bacteria;p__Bacillota;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus aureus	3003628	117	H_pass	pair_0058	species	True	pass	100.0	0.38	2	2978977	Complete Genome	006088835	False	False	False	False	True
GB_GCA_035461165.1	Bacillota	d__Bacteria;p__Bacillota;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus aureus	2917828	118	H_fail	pair_0059	species	False	severe	81.87	5.59	2	2897259	Complete Genome	035461165	False	False	False	False	False
GB_GCA_019551375.1	Bacillota	d__Bacteria;p__Bacillota;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus aureus	2917929	119	H_pass	pair_0059	species	True	pass	100.0	0.08	2	2893276	Complete Genome	019551375	False	False	False	False	True
GB_GCA_035469665.1	Bacillota	d__Bacteria;p__Bacillota;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus aureus	2810250	120	H_fail	pair_0060	species	False	severe	88.93	3.68	2	2790540	Complete Genome	035469665	False	False	False	False	False
RS_GCF_000626615.2	Bacillota	d__Bacteria;p__Bacillota;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus aureus	2810186	121	H_pass	pair_0060	species	True	pass	100.0	0.13	1	2810186	Complete Genome	000626615	False	False	True	False	True
GB_GCA_035481575.1	Bacillota	d__Bacteria;p__Bacillota;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus aureus	2907398	122	H_fail	pair_0061	species	False	severe	89.0	3.88	2	2872779	Complete Genome	035481575	False	False	False	False	False
RS_GCF_030064045.1	Bacillota	d__Bacteria;p__Bacillota;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus aureus	2907971	123	H_pass	pair_0061	species	True	pass	100.0	0.56	1	2907971	Complete Genome	030064045	False	False	False	False	True
GB_GCA_035491695.1	Bacillota	d__Bacteria;p__Bacillota;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus aureus	2875342	124	H_fail	pair_0062	species	False	severe	85.87	3.72	2	2854576	Complete Genome	035491695	False	False	False	False	False
RS_GCF_003193685.1	Bacillota	d__Bacteria;p__Bacillota;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus aureus	2875335	125	H_pass	pair_0062	species	True	pass	100.0	0.25	2	2872210	Complete Genome	003193685	False	False	False	False	True
GB_GCA_035493755.1	Bacillota	d__Bacteria;p__Bacillota;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus aureus	2986258	126	H_fail	pair_0063	species	False	severe	85.84	2.63	3	2949456	Complete Genome	035493755	False	False	False	False	False
RS_GCF_040931755.1	Bacillota	d__Bacteria;p__Bacillota;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus aureus	2986322	127	H_pass	pair_0063	species	True	pass	100.0	1.53	3	2959317	Complete Genome	040931755	False	False	False	False	True
GB_GCA_035495755.1	Bacillota	d__Bacteria;p__Bacillota;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus aureus	2884176	128	H_fail	pair_0064	species	False	severe	87.25	4.52	2	2863571	Complete Genome	035495755	False	False	False	False	False
RS_GCF_003194005.1	Bacillota	d__Bacteria;p__Bacillota;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus aureus	2884520	129	H_pass	pair_0064	species	True	pass	100.0	0.68	2	2857253	Complete Genome	003194005	False	False	False	False	True
GB_GCA_035508035.1	Bacillota	d__Bacteria;p__Bacillota;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus aureus	2927295	130	H_fail	pair_0065	species	False	severe	85.92	4.75	1	2927295	Complete Genome	035508035	False	False	False	False	False
RS_GCF_001975005.1	Bacillota	d__Bacteria;p__Bacillota;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus aureus	2927237	131	H_pass	pair_0065	species	True	pass	100.0	0.56	2	2900381	Complete Genome	001975005	False	False	False	False	True
GB_GCA_035521615.1	Bacillota	d__Bacteria;p__Bacillota;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus aureus	2893487	132	H_fail	pair_0066	species	False	severe	86.9	4.33	1	2893487	Complete Genome	035521615	False	False	False	False	False
RS_GCF_008329885.1	Bacillota	d__Bacteria;p__Bacillota;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus aureus	2893422	133	H_pass	pair_0066	species	True	pass	100.0	0.14	2	2866354	Complete Genome	008329885	False	False	False	False	True
GB_GCA_035532875.1	Bacillota	d__Bacteria;p__Bacillota;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus aureus	2815574	134	H_fail	pair_0067	species	False	severe	60.52	5.09	2	2795848	Complete Genome	035532875	False	False	False	False	False
RS_GCF_004026165.1	Bacillota	d__Bacteria;p__Bacillota;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus aureus	2815599	135	H_pass	pair_0067	species	True	pass	100.0	0.2	2	2796411	Complete Genome	004026165	False	False	False	False	True
GB_GCA_035536755.1	Bacillota	d__Bacteria;p__Bacillota;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus aureus	2798910	136	H_fail	pair_0068	species	False	severe	83.76	6.49	1	2798910	Complete Genome	035536755	False	False	False	False	False
RS_GCF_020388235.1	Bacillota	d__Bacteria;p__Bacillota;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus aureus	2798879	137	H_pass	pair_0068	species	True	pass	100.0	0.36	2	2757024	Complete Genome	020388235	False	False	True	False	True
GB_GCA_035540595.1	Bacillota	d__Bacteria;p__Bacillota;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus aureus	2925858	138	H_fail	pair_0069	species	False	severe	76.16	5.7	1	2925858	Complete Genome	035540595	False	False	False	False	False
RS_GCF_038048995.1	Bacillota	d__Bacteria;p__Bacillota;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus aureus	2926117	139	H_pass	pair_0069	species	True	pass	100.0	0.46	3	2895282	Complete Genome	038048995	False	False	False	False	True
GB_GCA_035542055.1	Bacillota	d__Bacteria;p__Bacillota;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus aureus	2841843	140	H_fail	pair_0070	species	False	severe	60.79	5.85	1	2841843	Complete Genome	035542055	False	False	False	False	False
RS_GCF_027942255.1	Bacillota	d__Bacteria;p__Bacillota;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus aureus	2841821	141	H_pass	pair_0070	species	True	pass	100.0	0.21	2	2809462	Complete Genome	027942255	False	False	False	False	True
GB_GCA_035547075.1	Bacillota	d__Bacteria;p__Bacillota;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus aureus	2895991	142	H_fail	pair_0071	species	False	severe	74.18	6.06	2	2868342	Complete Genome	035547075	False	False	False	False	False
RS_GCF_009912715.1	Bacillota	d__Bacteria;p__Bacillota;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus aureus	2896381	143	H_pass	pair_0071	species	True	pass	100.0	0.74	1	2896381	Complete Genome	009912715	False	False	True	False	True
GB_GCA_036351975.1	Pseudomonadota	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Halopseudomonas;s__Halopseudomonas pachastrellae	4385503	144	H_fail	pair_0072	genus	False	severe	75.78	4.56	1	4385503	Complete Genome	036351975	False	False	False	False	False
RS_GCF_009497895.1	Pseudomonadota	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Halopseudomonas;s__Halopseudomonas pelagia_A	4550643	145	H_pass	pair_0072	genus	True	pass	99.98	0.48	1	4550643	Complete Genome	009497895	False	False	False	False	True
GB_GCA_036872555.1	Bacillota	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Pediococcus;s__Pediococcus acidilactici	2072023	146	H_fail	pair_0073	species	False	severe	85.75	5.24	1	2072023	Complete Genome	036872555	False	False	False	False	False
RS_GCF_028884855.1	Bacillota	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Pediococcus;s__Pediococcus acidilactici	2069888	147	H_pass	pair_0073	species	True	pass	100.0	0.36	2	2014515	Complete Genome	028884855	False	False	False	False	True
GB_GCA_037055285.1	Pseudomonadota	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Lautropia;s__Lautropia sp963552635	3216547	148	H_fail	pair_0074	genus	False	moderate	90.42	1.61	1	3216547	Complete Genome	037055285	False	False	False	False	False
RS_GCF_037043395.1	Pseudomonadota	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Lautropia;s__Lautropia mirabilis	3162028	149	H_pass	pair_0074	genus	True	pass	99.87	0.19	1	3162028	Complete Genome	037043395	False	False	False	False	True
GB_GCA_037100235.1	Pseudomonadota	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella;s__Klebsiella michiganensis	5857841	150	H_fail	pair_0075	species	False	moderate	93.17	0.42	5	5502914	Complete Genome	037100235	False	False	False	False	False
RS_GCF_017815775.1	Pseudomonadota	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella;s__Klebsiella michiganensis	5845628	151	H_pass	pair_0075	species	True	pass	100.0	0.4	1	5845628	Complete Genome	017815775	False	False	False	False	True
GB_GCA_037236975.1	Actinomycetota	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Microbacteriaceae;g__Curtobacterium;s__Curtobacterium flaccumfaciens	3711498	152	H_fail	pair_0076	species	False	severe	84.82	1.53	1	3711498	Complete Genome	037236975	False	False	False	False	False
RS_GCF_024925305.1	Actinomycetota	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Microbacteriaceae;g__Curtobacterium;s__Curtobacterium flaccumfaciens	3734688	153	H_pass	pair_0076	species	True	pass	100.0	0.06	1	3734688	Complete Genome	024925305	False	False	False	False	True
GB_GCA_037246145.1	Bacillota	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus agalactiae	2207556	154	H_fail	pair_0077	species	False	moderate	94.42	6.91	1	2207556	Complete Genome	037246145	False	False	False	False	False
RS_GCF_002197305.1	Bacillota	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus agalactiae	2208337	155	H_pass	pair_0077	species	True	pass	100.0	0.11	1	2208337	Complete Genome	002197305	False	False	False	False	True
GB_GCA_037791055.1	Pseudomonadota	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Salmonella;s__Salmonella enterica	5056645	156	H_fail	pair_0078	species	False	moderate	94.17	5.11	4	4726546	Complete Genome	037791055	False	False	False	False	False
RS_GCF_037780985.1	Pseudomonadota	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Salmonella;s__Salmonella enterica	5056444	157	H_pass	pair_0078	species	True	pass	100.0	0.12	4	4727134	Complete Genome	037780985	False	False	False	False	True
GB_GCA_037794445.1	Pseudomonadota	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Salmonella;s__Salmonella enterica	5045222	158	H_fail	pair_0079	species	False	moderate	95.54	4.82	2	4726720	Complete Genome	037794445	False	False	False	False	False
RS_GCF_004136115.1	Pseudomonadota	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Salmonella;s__Salmonella enterica	5045178	159	H_pass	pair_0079	species	True	pass	100.0	0.11	3	4928771	Complete Genome	004136115	False	False	False	False	True
GB_GCA_037888935.1	Actinomycetota	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Microbacteriaceae;g__Clavibacter;s__Clavibacter tessellarius	3317076	160	H_fail	pair_0080	species	False	severe	53.21	0.19	2	3263998	Complete Genome	037888935	False	False	False	False	False
RS_GCF_021922985.1	Actinomycetota	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Microbacteriaceae;g__Clavibacter;s__Clavibacter tessellarius	3366694	161	H_pass	pair_0080	species	True	pass	100.0	1.1	4	3254008	Complete Genome	021922985	False	False	False	False	True
GB_GCA_039519115.1	Campylobacterota	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter_D;s__Campylobacter_D coli_A	1617996	162	H_fail	pair_0081	species	False	moderate	93.72	0.51	1	1617996	Complete Genome	039519115	False	False	False	False	False
RS_GCF_001639125.1	Campylobacterota	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter_D;s__Campylobacter_D coli	1668523	163	H_pass	pair_0081	species	True	pass	99.38	0.06	1	1668523	Complete Genome	001639125	False	False	False	False	True
GB_GCA_039955015.1	Bacillota	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus_E;s__Enterococcus_E cecorum	2612923	164	H_fail	pair_0082	species	False	severe	85.16	4.17	2	2574331	Complete Genome	039955015	False	False	False	False	False
RS_GCF_039954945.1	Bacillota	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus_E;s__Enterococcus_E cecorum	2676815	165	H_pass	pair_0082	species	True	pass	99.99	0.33	2	2670571	Complete Genome	039954945	False	False	False	False	True
GB_GCA_040084615.1	Bacillota	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus_B;s__Enterococcus_B faecium	2561368	166	H_fail	pair_0083	species	False	severe	84.86	4.75	1	2561368	Complete Genome	040084615	False	False	False	False	False
RS_GCF_007923785.2	Bacillota	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus_B;s__Enterococcus_B faecium	2557066	167	H_pass	pair_0083	species	True	pass	100.0	0.08	2	2515672	Complete Genome	007923785	False	False	False	False	True
GB_GCA_040084665.1	Bacillota	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus haynesii	4396716	168	H_fail	pair_0084	species	False	severe	76.35	4.44	1	4396716	Complete Genome	040084665	False	False	False	False	False
GB_GCA_021401425.1	Bacillota	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus haynesii	4321565	169	H_pass	pair_0084	species	True	pass	100.0	0.04	1	4321565	Complete Genome	021401425	False	False	False	False	True
GB_GCA_040215705.1	Pseudomonadota	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Neisseriaceae;g__Neisseria;s__Neisseria gonorrhoeae	2289034	170	H_fail	pair_0085	species	False	mild	99.65	2.67	1	2289034	Complete Genome	040215705	False	False	False	False	False
RS_GCF_038420605.1	Pseudomonadota	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Neisseriaceae;g__Neisseria;s__Neisseria gonorrhoeae	2287581	171	H_pass	pair_0085	species	True	pass	99.98	0.09	4	2235875	Complete Genome	038420605	False	False	False	False	True
GB_GCA_040268345.1	Spirochaetota	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Borreliales;f__Borreliaceae;g__Borreliella;s__Borreliella burgdorferi	906733	172	H_fail	pair_0086	family	False	moderate	95.09	0.23	1	906733	Complete Genome	040268345	False	False	False	False	False
RS_GCF_000956315.1	Spirochaetota	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Borreliales;f__Borreliaceae;g__Borrelia;s__Borrelia hermsii	922280	173	H_pass	pair_0086	family	True	pass	98.53	0.11	1	922280	Complete Genome	000956315	False	False	True	False	True
GB_GCA_040556325.1	Actinomycetota	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Streptomycetales;f__Streptomycetaceae;g__Streptomyces;s__Streptomyces parvus	8179066	174	H_fail	pair_0087	genus	False	moderate	95.82	0.43	1	8179066	Complete Genome	040556325	False	False	False	False	False
GB_GCA_001767375.1	Actinomycetota	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Streptomycetales;f__Streptomycetaceae;g__Streptomyces;s__Streptomyces olivaceus	8180260	175	H_pass	pair_0087	genus	True	pass	99.99	0.0	1	8180260	Complete Genome	001767375	False	False	False	False	True
